Dataset,Instance ID,Va,Vb,time,pathnumber,path content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalborg,0,11847,11848,2070,5,Cache ID: 472,23508,23507,23506,23505,23504,23503,15326,29542,15406,15407,19535,19536,66540,129235,53321,53320,60193,60192,52300,127124,128724,128725,128726,126929,127414,128411,127366,129310,127889,127890,127891,127485,129501,129502,127672,127673,127674,127675,127676,127418,127491,127490,127125,129620,129619,129618,129617,129616,129615,129614,128629,128628,129096,129095,128253,128252,128251,127883,128003,127751,127750,127749,127748,127747,127746,127745,127744,127743,127207,127206,127205,129648,129647,129646,129645,129644,129643,129642,129641,129640,128123,127196,127195,129000,129001,8067,128510,128511,12270,128188,127789,127790,129478,126895,126894,15329,127120,127119,127118,7848,128986,128987,11311,128929,18972,127511,18913,129016,14642,128711,9953,126815,126814,126813,128571,38508,128530,128531,128532,128533,Cache ID: 810,7665,6719,6718,8473,10854,10853,36016,3814,3219,2344,2102,2103,2567,2083,2262,2263,3410,3739,3429,3115,3114,3200,3199,8167,12271,12270,128511,128510,8067,129001,129000,127195,127196,128123,129640,129641,129642,129643,129644,129645,129646,129647,129648,127205,127206,127207,127743,127744,127745,127746,127747,127748,127749,127750,127751,128003,127883,128251,128252,128253,129095,129096,128628,128629,129614,129615,129616,129617,129618,129619,129620,127125,127490,127491,127418,127676,127675,127674,127673,127672,129502,129501,127485,127891,127890,127889,129310,127366,128411,127414,126929,128726,128725,128724,127124,52300,60192,60193,53320,53321,129235,66540,19536,19535,15407,15406,29542,15326,23503,23504,23505,23506,23507,23508,Cache ID: 873,23508,23507,23506,23505,23504,23503,15326,29542,15406,15407,19535,19536,66540,129235,53321,53320,60193,60192,52300,127124,128724,128725,128726,126929,127414,128411,127366,129310,127889,127890,127891,127485,129501,129502,127672,127673,127674,127675,127676,127418,127491,127490,127125,129620,129619,129618,129617,129616,129615,129614,128629,128628,129096,129095,128253,128252,128251,127883,128003,127751,127750,127749,127748,127747,127746,127745,127744,127743,127207,127206,127205,129648,129647,129646,129645,129644,129643,129642,129641,129640,128123,127196,127195,129000,129001,8067,128510,128511,12270,12271,8167,3199,3200,3114,3115,3429,3739,3410,2263,2262,2083,2567,2103,127539,127853,127854,19966,127302,19961,128091,128090,126936,126941,127333,127332,127841,13665,20020,12958,12957,19167,19166,19165,19164,19163,38514,38515,26069,38529,Cache ID: 972,8464,8463,17940,17939,38252,38579,129453,127655,127482,127481,128481,127341,129240,129239,127528,126964,126963,127535,127534,127126,127125,129620,129619,129618,129617,129616,129615,129614,128629,128628,129096,129095,128253,128252,128251,127883,128003,127751,127750,127749,127748,127747,127746,127745,127744,127743,127207,127206,127205,129648,129647,129646,129645,129644,129643,129642,129641,129640,128123,127196,127195,127550,127549,127548,127547,127639,128021,6842,128029,129052,127504,8230,129056,128331,12906,129062,127536,12376,128045,25019,12898,10513,10514,12967,9122,32103,25248,15344,17558,15301,17703,17704,9448,9449,9450,9451,9642,9447,9446,14089,Cache ID: 976,7920,7919,30675,38529,26069,38515,38514,19163,19164,19165,19166,19167,12957,12958,20020,13665,127841,127332,127333,126941,126936,128090,128091,19961,127302,19966,127854,127853,127539,2103,2567,2083,2262,2263,3410,3739,3429,3115,3114,3200,3199,8167,12271,12270,128511,128510,8067,8068,126865,126864,127123,129577,129576,129575,129574,129573,129572,129135,126819,126818,126858,129639,129638,129637,129636,129635,129634,129578,129624,129625,129626,129627,129628,129629,129630,129631,129632,129633,127546,127298,127297,127296,129345,129346,129347,129348,129349,129350,129351,129352,129353,129354,129355,129356,128464,128465,126932,126874,13278,13279,34184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aalborg,1,38508,128530,2140,19,Cache ID: 273,3018,13089,12756,7290,18949,8782,8783,8784,8785,8786,11445,11444,7432,8197,17567,16965,13292,25292,25291,13424,13534,17786,6737,6736,6735,17767,8748,7413,7412,37698,13140,13073,13072,13071,13056,9293,8215,11014,7934,7099,7281,8456,8526,10455,7530,7529,128534,128533,Cache ID: 432,12164,10632,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,129042,129041,128954,37699,16762,38357,32897,6885,38435,22465,38201,9782,37958,37959,26982,38740,31840,34155,31705,36762,13540,9275,9276,20247,19683,10848,10849,10850,36164,36165,28258,6781,12687,18625,18624,18486,18485,18484,9505,8550,8549,8548,18283,18282,18281,18280,Cache ID: 546,11927,11926,24184,24185,11010,7919,30675,38529,26069,38515,38514,19163,38251,38040,25878,13670,13669,11276,9912,8526,10455,7530,7529,128534,Cache ID: 565,3686,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,129042,129041,128954,37699,16762,38357,32897,6885,38435,22465,38201,9782,37958,37959,26982,38740,31840,34155,31705,36762,13540,9275,9276,20247,19683,10848,10849,10850,36164,36165,28258,6781,12687,18625,18624,18486,18485,18484,9505,8550,8549,8548,29637,29636,29635,29634,29633,29632,Cache ID: 567,12164,10632,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,129042,129041,128954,37699,16762,38357,32897,6885,38435,22465,38201,9782,37958,37959,26982,38740,31840,34155,31705,36762,13540,9275,37294,20545,Cache ID: 568,7101,6740,28944,7481,7480,29124,8779,16900,16899,16898,7529,7530,126974,126973,129049,128732,29895,128406,38371,129468,129469,30527,30528,9877,7665,Cache ID: 573,3686,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,127877,127737,127738,128285,128286,Cache ID: 622,12164,10632,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,16898,16899,16900,8779,29124,7480,7481,28944,6740,7101,23724,37635,Cache ID: 756,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,129042,129041,128954,37699,16762,38357,32897,6885,38435,22465,38201,9782,37958,37959,26982,38740,31840,34155,31705,36762,13540,9275,9276,20247,19683,10848,10849,10850,36164,36165,28258,6781,12687,18625,18624,18486,18485,18484,9505,8550,8549,8548,18283,18282,18281,Cache ID: 760,26104,6861,6862,6863,8545,128830,38559,126947,126948,128547,129051,128549,127168,127169,6835,127852,128356,127340,13073,13072,13071,13056,9293,8215,11014,7934,7099,7281,8456,8526,10455,7530,7529,128534,128533,Cache ID: 789,8540,9757,9758,8560,12642,31481,11634,11635,11636,19961,8022,10726,6719,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,16898,16899,16900,8779,29124,7480,23764,23765,23766,Cache ID: 815,14478,14477,14476,19966,11294,15377,4384,3219,3814,36016,10853,10854,8473,6718,6719,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,16898,16899,16900,8779,29124,7480,23764,23765,Cache ID: 827,5582,5583,6420,21830,38690,8697,8944,38576,29910,7773,38191,7578,7579,128550,128551,128552,128553,128554,38508,38371,128406,29895,128732,129049,126973,126974,7530,7529,16898,16899,16900,8779,29124,7480,7481,28944,6740,7101,23724,Cache ID: 865,4869,4870,4871,4872,4873,4874,4875,2967,2968,13009,38742,38711,38712,38713,38714,38670,38671,127622,127417,127416,126819,129135,129572,129573,129574,129575,129576,129577,127123,126864,126865,8068,8067,128510,128511,12270,128188,127789,127790,129478,126895,126894,15329,127120,127119,127118,7848,128986,128987,11311,128929,18972,127511,18913,129016,14642,128711,9953,126815,126814,126813,128571,38508,38371,128406,29895,128732,129049,126973,126974,7530,7529,16898,16899,16900,8779,29124,7480,7481,28944,6740,7101,23724,23723,Cache ID: 893,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,38668,38664,38665,38716,33333,23385,38721,38258,38102,38103,14749,38591,32982,38695,38732,38269,38270,37389,38477,8129,129276,129275,128301,128395,128396,128323,128322,128083,129358,129357,129525,129524,129523,32286,127115,126994,126861,126860,127938,127403,128314,128315,38476,37645,38623,38344,8568,31196,7746,38512,37535,34170,38058,38585,127654,19309,19310,19311,19307,13457,13458,30592,11140,30591,Cache ID: 944,2769,2513,2514,7542,7543,10632,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,129042,129041,128954,37699,16762,38357,32897,6885,38435,22465,38201,9782,37958,37959,26982,38740,31840,34155,31705,36762,13540,9275,9276,20247,19683,10848,10849,10850,36164,36165,28258,6781,12687,18625,18624,18486,18485,18484,9505,8550,8549,8548,29637,29636,29635,29634,29633,29632,29631,29334,7654,7653,7652,10474,8043,24826,24825,11374,28951,5641,5640,5513,5876,5445,6605,16258,16257,16256,28855,26120,26121,26122,60222,60223,60224,60225,60226,60227,60228,126064,126065,65553,123955,71778,71779,71780,58952,123610,123611,123612,123613,123614,61702,61703,61704,58413,86239,86240,126027,118223,61837,61838,123251,102948,124924,124925,124926,124927,124928,124929,116010,54497,101914,Cache ID: 961,11218,11219,22465,38435,6885,32897,38357,16762,37699,128954,129041,129042,38024,129185,129184,129183,129182,127876,128405,127001,127000,7529,7530,126974,126973,129049,128732,29895,128406,38371,129468,129469,30527,30528,9877,10632,7543,7542,126935,126936,127456,127252,128698,127379,11825,11826,11827,11828,11829,Cache ID: 976,7665,9877,30528,30527,129469,129468,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,129182,129183,129184,129185,38024,38668,38664,38665,38716,33333,23385,38721,38258,38102,38103,14749,38591,32982,38695,38732,38269,38270,37389,38477,8129,128403,128404,128394,128602,128604,38580,Cache ID: 980,127196,127195,129000,129001,8067,128510,128511,12270,128188,127789,127790,129478,126895,126894,15329,127120,127119,127118,7848,128986,128987,11311,128929,18972,127511,18913,129016,14642,128711,9953,126815,126814,126813,128571,38508,38371,128406,29895,128732,129049,126973,126974,7530,7529,127000,127001,128405,127876,127877,127737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
